[2019-10-10 19:53:31,634] - logger.py] - INFO: 开始执行test001
[2019-10-10 19:53:31,736] - logger.py] - INFO: test001 pass
[2019-10-10 19:53:31,739] - logger.py] - INFO: 开始执行test002
[2019-10-10 19:53:31,860] - logger.py] - INFO: 开始执行test003
[2019-10-10 19:53:31,955] - logger.py] - INFO: 开始执行test004
[2019-10-10 19:53:34,178] - logger.py] - INFO: test004 pass
[2019-10-10 19:53:34,181] - logger.py] - INFO: 开始执行test005
[2019-10-10 19:53:34,905] - logger.py] - INFO: test005 pass
[2019-10-10 19:53:34,909] - logger.py] - INFO: 开始执行test006
[2019-10-10 19:53:34,996] - logger.py] - INFO: 开始执行test007
[2019-10-10 19:53:35,000] - logger.py] - INFO: 开始执行test008
[2019-10-10 19:53:35,004] - logger.py] - INFO: 开始执行test009
[2019-10-10 19:53:35,009] - logger.py] - INFO: 开始执行test010
[2019-10-10 19:53:35,088] - logger.py] - INFO: test_010 pass
[2019-10-10 19:57:29,098] - logger.py] - INFO: 开始执行test_001
[2019-10-10 19:57:29,267] - logger.py] - INFO: test_001 pass
[2019-10-10 19:57:29,270] - logger.py] - INFO: 开始执行test_002
[2019-10-10 19:57:31,560] - logger.py] - INFO: test_002 pass
[2019-10-10 19:57:31,563] - logger.py] - INFO: 开始执行test_003
[2019-10-10 19:57:31,680] - logger.py] - INFO: 开始执行test_004
[2019-10-10 19:57:31,765] - logger.py] - INFO: test_004 pass
[2019-10-10 19:57:31,768] - logger.py] - INFO: 开始执行test_005
[2019-10-10 19:57:31,930] - logger.py] - INFO: test_005 pass
[2019-10-10 19:57:31,933] - logger.py] - INFO: 开始执行test_006
[2019-10-10 19:57:32,015] - logger.py] - INFO: test_006 pass
[2019-10-10 19:57:32,018] - logger.py] - INFO: 开始执行test_007
[2019-10-10 19:57:32,140] - logger.py] - INFO: test_007 pass
[2019-10-10 19:57:32,144] - logger.py] - INFO: 开始执行test_008
[2019-10-10 19:57:32,900] - logger.py] - INFO: test_008 pass
[2019-10-10 19:57:32,903] - logger.py] - INFO: 开始执行test_009
[2019-10-10 19:57:33,029] - logger.py] - INFO: test_009 pass
[2019-10-10 19:57:33,033] - logger.py] - INFO: 开始执行test_010
[2019-10-10 19:57:33,129] - logger.py] - INFO: test_010 pass
[2019-10-10 19:57:33,132] - logger.py] - INFO: 开始执行test_011
[2019-10-10 19:57:33,237] - logger.py] - INFO: test_011 pass
[2019-10-10 19:57:38,114] - logger.py] - INFO: 开始执行test_001
[2019-10-10 19:57:38,271] - logger.py] - INFO: test_001 pass
[2019-10-10 19:57:38,274] - logger.py] - INFO: 开始执行test_002
[2019-10-10 19:57:38,352] - logger.py] - INFO: 开始执行test_003
[2019-10-10 19:57:38,568] - logger.py] - INFO: 开始执行test_004
[2019-10-10 19:57:38,673] - logger.py] - INFO: test_004pass
[2019-10-10 19:57:38,676] - logger.py] - INFO: 开始执行test_005
[2019-10-10 19:57:39,306] - logger.py] - INFO: test_004 pass
[2019-10-10 19:57:39,309] - logger.py] - INFO: 开始执行test_006
[2019-10-10 19:57:39,409] - logger.py] - INFO: test_006 pass
[2019-10-10 19:57:39,413] - logger.py] - INFO: 开始执行test_007
[2019-10-10 19:57:39,509] - logger.py] - INFO: 开始执行test_008
[2019-10-10 19:57:39,611] - logger.py] - INFO: test_008 pass
[2019-10-10 19:57:39,611] - logger.py] - INFO: 开始执行test_009
[2019-10-10 19:57:39,611] - logger.py] - INFO: test_008 pass
[2019-10-10 19:57:39,611] - logger.py] - INFO: 开始执行test_0010
[2019-10-10 19:57:43,186] - logger.py] - INFO: 开始执行test_user001
[2019-10-10 19:57:43,294] - logger.py] - INFO: test_user001 pass
[2019-10-10 19:57:43,298] - logger.py] - INFO: 开始执行test_user002
[2019-10-10 19:57:43,745] - logger.py] - INFO: 开始执行test_user003
[2019-10-10 19:57:43,965] - logger.py] - INFO: 开始执行test_user003
[2019-10-10 19:57:44,081] - logger.py] - INFO: test_user004 pass
[2019-10-10 19:57:44,084] - logger.py] - INFO: 开始执行test_user005
[2019-10-10 19:57:44,837] - logger.py] - INFO: test_user005 pass
