"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /v00009/epc/plantView/doPlantList.json?uid=10516&companyId=5244&statusType=-1&pageIndex=1&pageSize=50",396,1500,2700,5600,6700,9200,11000,14000,18000,34692
"None Total",396,1500,2700,5600,6700,9200,11000,14000,18000,34692
