"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/v00009/epc/plantView/doPlantList.json?uid=10516&companyId=5244&statusType=-1&pageIndex=1&pageSize=50",396,0,1500,3581,654,34692,30694,13.06
"None","Total",396,0,1500,3581,654,34692,30694,13.06
